iter	Logloss
128	0.1538532359
129	0.1537129198
130	0.1535088971
131	0.15329069
132	0.1530500063
133	0.1529291308
134	0.1527575347
135	0.152512764
136	0.1522399467
137	0.1519751661
138	0.1519379911
139	0.1518425748
140	0.1516537743
141	0.151511084
142	0.1514001797
143	0.151348813
144	0.1511447368
145	0.1509962185
146	0.1508229956
147	0.1506987779
148	0.1504159311
149	0.1503636871
150	0.1501399767
151	0.1499747327
152	0.1498963574
153	0.1497528207
154	0.149540275
155	0.1493918133
156	0.1492359411
157	0.149100829
158	0.1489735477
159	0.1486829341
160	0.148508125
161	0.1483594825
162	0.1480930044
163	0.1479418506
164	0.1478386082
165	0.1475269114
166	0.1473631922
167	0.1471718375
168	0.1469551181
169	0.1466855661
170	0.146445718
171	0.1462478848
172	0.145998083
173	0.1457805822
174	0.1454451378
175	0.1452606648
176	0.1450915704
177	0.1449721642
178	0.1449616245
179	0.1447445839
180	0.1445804875
181	0.1444794583
182	0.1443192015
183	0.1441753059
184	0.1440360997
185	0.1439726284
186	0.1438020899
187	0.1437042195
188	0.1435367096
189	0.1433128725
190	0.1431724582
191	0.1430324254
192	0.1428289643
193	0.1424663455
194	0.1422993469
195	0.142014241
196	0.1418434277
197	0.1416322083
198	0.1413916659
199	0.1412544264
200	0.1410108642
201	0.1409401325
202	0.1407815238
203	0.140681701
204	0.1404151446
205	0.1402409571
206	0.1401178637
207	0.139936122
208	0.1398465099
209	0.1396319476
210	0.1395133252
211	0.1394708169
212	0.1391350692
213	0.1389754305
214	0.1388889305
215	0.1388437863
216	0.1386286783
217	0.1383432953
218	0.1381368101
219	0.1378779304
220	0.1377378956
221	0.137690812
222	0.1375429183
223	0.1373632463
224	0.1371612769
225	0.1370886482
226	0.1370268129
227	0.1369109324
228	0.1368730757
229	0.136847626
230	0.1366223455
231	0.1364987113
232	0.1362958209
233	0.1362324084
234	0.1360008758
235	0.1357814653
236	0.1354991411
237	0.1354383167
238	0.1352397703
239	0.1350095557
240	0.1348301091
241	0.1346953054
242	0.1345409983
243	0.1343908427
244	0.134255403
245	0.1341746288
246	0.1338907736
247	0.1338084287
248	0.1336883364
249	0.1336375421
250	0.1334706226
251	0.1334251603
252	0.1331943701
253	0.1331729625
254	0.1329101945
255	0.1328861105
256	0.1326296071
257	0.1325222363
258	0.1323135388
259	0.1321997239
260	0.1319862063
261	0.131835836
262	0.1316052665
263	0.1314593655
264	0.1314164576
265	0.1312076471
266	0.1310307278
267	0.1308142375
268	0.1306866895
269	0.1305413132
270	0.1304149666
271	0.1302146506
272	0.1300154738
273	0.1299907961
274	0.1298517517
275	0.1297168253
276	0.1297013777
277	0.1295337625
278	0.129504875
279	0.1294093353
280	0.1292655452
281	0.1290859533
282	0.1288904987
283	0.1287980647
284	0.1286239188
285	0.1284470565
286	0.1283168953
287	0.1282159959
288	0.1280538933
289	0.1278796764
290	0.1277881517
291	0.1276347981
292	0.1274769624
293	0.1273571788
294	0.1272190013
295	0.1272022533
296	0.1270376712
297	0.1269278073
298	0.1268456964
299	0.1267216313
300	0.1265758839
301	0.1264681479
302	0.1263213892
303	0.1261771128
304	0.126102442
305	0.1259832508
306	0.1258359976
307	0.1257684043
308	0.1257427422
309	0.1257123367
310	0.1256066663
311	0.125444983
312	0.1253181151
313	0.125222454
314	0.1251133032
315	0.1250503385
316	0.1248874922
317	0.1248570056
318	0.1247045251
319	0.1246177189
320	0.1244888241
321	0.1243595697
322	0.1242848537
323	0.1241088118
324	0.1240572032
325	0.1238659546
326	0.1238057758
327	0.1236450625
328	0.1236085913
329	0.1235526029
330	0.1234330363
331	0.1233811284
332	0.123243719
333	0.1231882242
334	0.1231003628
335	0.1228713283
336	0.1228301236
337	0.1227427425
338	0.1226943837
339	0.1225510194
340	0.1224940069
341	0.1223465874
342	0.1223208796
343	0.1222458105
344	0.1221412942
345	0.122012517
346	0.1219497985
347	0.1219178839
348	0.121860947
349	0.1218350237
